OrderID,OrderDate,City,Category,Item,Quantity,Price,PaymentMode,Status,DeliveryTime(min),CustomerType,TotalAmount
1,01/01/2023 00:00,Kolkata,Snacks,Banana,5,162,Wallet,Delivered,61,Repeat,810
2,01/01/2023 01:00,Hyderabad,Snacks,Flour,1,352,Card,Returned,62,New,352
3,01/01/2023 02:00,Chennai,Personal Care,Rice,5,431,Card,Cancelled,89,New,2155
4,01/01/2023 03:00,Kolkata,Beverages,Shampoo,5,264,Card,Delivered,65,New,1320
5,01/01/2023 04:00,Bangalore,Snacks,Apple,3,100,Cash,Delivered,82,New,300
6,01/01/2023 05:00,Ahmedabad,Household,Soap,1,145,Wallet,Delivered,75,Repeat,145
7,01/01/2023 06:00,Chennai,Snacks,Juice,2,156,Wallet,Delivered,76,Repeat,312
8,01/01/2023 07:00,Chennai,Household,Juice,1,75,UPI,Cancelled,42,New,75
9,01/01/2023 08:00,Kolkata,Snacks,Eggs,1,232,Wallet,Delivered,32,New,232
10,01/01/2023 09:00,Mumbai,Household,Apple,4,113,Cash,Delivered,15,Repeat,452
11,01/01/2023 10:00,Bangalore,Snacks,Juice,2,402,UPI,Delivered,56,Repeat,804
12,01/01/2023 11:00,Kolkata,Snacks,Oil,2,478,Card,Delivered,67,Repeat,956
13,01/01/2023 12:00,Bangalore,Dairy & Bakery,Oil,4,497,Wallet,Delivered,14,Repeat,1988
14,01/01/2023 13:00,Bangalore,Household,Banana,4,311,Cash,Delivered,86,New,1244
15,01/01/2023 14:00,Ahmedabad,Household,Flour,1,147,Cash,Delivered,86,Repeat,147
16,01/01/2023 15:00,Chennai,Household,Eggs,3,459,Wallet,Delivered,18,New,1377
17,01/01/2023 16:00,Hyderabad,Fruits & Vegetables,Milk,4,236,Cash,Returned,12,Repeat,944
18,01/01/2023 17:00,Ahmedabad,Snacks,Juice,2,218,Card,Delivered,70,New,436
19,01/01/2023 18:00,Ahmedabad,Household,Chips,2,39,Wallet,Delivered,73,Repeat,78
20,01/01/2023 19:00,Bangalore,Personal Care,Shampoo,1,74,Wallet,Delivered,55,Repeat,74
21,01/01/2023 20:00,Pune,Fruits & Vegetables,Juice,3,265,Wallet,Delivered,65,Repeat,795
22,01/01/2023 21:00,Chennai,Dairy & Bakery,Bread,5,270,UPI,Cancelled,48,New,1350
23,01/01/2023 22:00,Mumbai,Household,Flour,4,79,Card,Delivered,22,Repeat,316
24,01/01/2023 23:00,Ahmedabad,Household,Apple,4,182,Cash,Delivered,50,New,728
25,02/01/2023 00:00,Hyderabad,Fruits & Vegetables,Bread,1,221,Wallet,Delivered,20,Repeat,221
26,02/01/2023 01:00,Pune,Snacks,Rice,3,246,Wallet,Delivered,50,Repeat,738
27,02/01/2023 02:00,Pune,Personal Care,Juice,2,148,Cash,Delivered,84,New,296
28,02/01/2023 03:00,Mumbai,Dairy & Bakery,Milk,2,481,Card,Delivered,56,New,962
29,02/01/2023 04:00,Ahmedabad,Household,Bread,5,64,Cash,Delivered,58,New,320
30,02/01/2023 05:00,Hyderabad,Snacks,Bread,2,216,Cash,Delivered,74,Repeat,432
31,02/01/2023 06:00,Chennai,Personal Care,Apple,4,443,Wallet,Delivered,44,Repeat,1772
32,02/01/2023 07:00,Delhi,Personal Care,Eggs,5,185,UPI,Delivered,44,New,925
33,02/01/2023 08:00,Hyderabad,Dairy & Bakery,Milk,3,266,UPI,Delivered,76,Repeat,798
34,02/01/2023 09:00,Mumbai,Beverages,Flour,5,245,UPI,Delivered,13,New,1225
35,02/01/2023 10:00,Pune,Personal Care,Bread,3,299,UPI,Delivered,33,New,897
36,02/01/2023 11:00,Chennai,Beverages,Oil,2,279,UPI,Delivered,45,New,558
37,02/01/2023 12:00,Hyderabad,Personal Care,Soap,1,366,Wallet,Delivered,86,New,366
38,02/01/2023 13:00,Delhi,Dairy & Bakery,Milk,5,216,UPI,Delivered,65,Repeat,1080
39,02/01/2023 14:00,Delhi,Fruits & Vegetables,Soap,5,126,Cash,Delivered,13,Repeat,630
40,02/01/2023 15:00,Bangalore,Dairy & Bakery,Juice,4,288,Wallet,Delivered,49,New,1152
41,02/01/2023 16:00,Bangalore,Dairy & Bakery,Bread,4,251,Cash,Delivered,52,New,1004
42,02/01/2023 17:00,Kolkata,Fruits & Vegetables,Bread,3,424,UPI,Returned,67,New,1272
43,02/01/2023 18:00,Mumbai,Fruits & Vegetables,Banana,1,120,Card,Delivered,71,New,120
44,02/01/2023 19:00,Ahmedabad,Snacks,Banana,4,179,UPI,Delivered,16,New,716
45,02/01/2023 20:00,Hyderabad,Personal Care,Apple,4,441,Wallet,Delivered,18,New,1764
46,02/01/2023 21:00,Hyderabad,Snacks,Flour,2,114,Cash,Delivered,31,New,228
47,02/01/2023 22:00,Ahmedabad,Fruits & Vegetables,Shampoo,2,435,Card,Delivered,13,Repeat,870
48,02/01/2023 23:00,Kolkata,Beverages,Shampoo,4,226,Card,Delivered,45,New,904
49,03/01/2023 00:00,Pune,Beverages,Flour,3,332,Card,Delivered,79,Repeat,996
50,03/01/2023 01:00,Pune,Dairy & Bakery,Eggs,1,451,Cash,Delivered,76,New,451
51,03/01/2023 02:00,Kolkata,Household,Apple,4,433,Wallet,Delivered,44,Repeat,1732
52,03/01/2023 03:00,Pune,Dairy & Bakery,Shampoo,3,254,Card,Returned,42,Repeat,762
53,03/01/2023 04:00,Bangalore,Dairy & Bakery,Apple,3,346,Cash,Delivered,16,Repeat,1038
54,03/01/2023 05:00,Hyderabad,Household,Bread,4,441,Cash,Cancelled,64,New,1764
55,03/01/2023 06:00,Kolkata,Personal Care,Banana,3,498,UPI,Delivered,56,New,1494
56,03/01/2023 07:00,Hyderabad,Fruits & Vegetables,Banana,5,447,Cash,Delivered,71,Repeat,2235
57,03/01/2023 08:00,Ahmedabad,Beverages,Banana,3,173,Wallet,Cancelled,76,Repeat,519
58,03/01/2023 09:00,Delhi,Dairy & Bakery,Oil,4,119,Wallet,Delivered,73,New,476
59,03/01/2023 10:00,Bangalore,Household,Oil,3,257,Card,Cancelled,52,Repeat,771
60,03/01/2023 11:00,Chennai,Snacks,Shampoo,4,126,Cash,Delivered,27,Repeat,504
61,03/01/2023 12:00,Bangalore,Dairy & Bakery,Milk,2,365,Cash,Delivered,12,Repeat,730
62,03/01/2023 13:00,Kolkata,Beverages,Chips,4,383,UPI,Delivered,68,New,1532
63,03/01/2023 14:00,Chennai,Fruits & Vegetables,Oil,3,149,UPI,Delivered,71,New,447
64,03/01/2023 15:00,Delhi,Dairy & Bakery,Bread,4,318,Cash,Delivered,48,Repeat,1272
65,03/01/2023 16:00,Kolkata,Dairy & Bakery,Juice,1,62,Cash,Delivered,73,Repeat,62
66,03/01/2023 17:00,Mumbai,Personal Care,Apple,4,82,Cash,Cancelled,82,New,328
67,03/01/2023 18:00,Hyderabad,Household,Banana,4,92,UPI,Delivered,69,Repeat,368
68,03/01/2023 19:00,Delhi,Snacks,Banana,1,205,UPI,Delivered,51,Repeat,205
69,03/01/2023 20:00,Hyderabad,Snacks,Banana,1,136,Wallet,Delivered,14,New,136
70,03/01/2023 21:00,Pune,Fruits & Vegetables,Bread,1,323,Card,Delivered,55,Repeat,323
71,03/01/2023 22:00,Mumbai,Beverages,Banana,5,24,Card,Delivered,13,New,120
72,03/01/2023 23:00,Mumbai,Fruits & Vegetables,Eggs,4,494,Card,Delivered,23,Repeat,1976
73,04/01/2023 00:00,Delhi,Dairy & Bakery,Apple,1,95,Card,Delivered,20,New,95
74,04/01/2023 01:00,Mumbai,Dairy & Bakery,Bread,1,310,UPI,Delivered,69,Repeat,310
75,04/01/2023 02:00,Chennai,Snacks,Apple,2,368,UPI,Delivered,31,New,736
76,04/01/2023 03:00,Mumbai,Beverages,Soap,5,419,Cash,Delivered,14,Repeat,2095
77,04/01/2023 04:00,Hyderabad,Household,Rice,4,102,Wallet,Cancelled,62,Repeat,408
78,04/01/2023 05:00,Hyderabad,Beverages,Oil,3,452,Wallet,Returned,21,Repeat,1356
79,04/01/2023 06:00,Kolkata,Dairy & Bakery,Flour,5,79,Card,Delivered,30,Repeat,395
80,04/01/2023 07:00,Hyderabad,Household,Eggs,5,126,Cash,Delivered,88,New,630
81,04/01/2023 08:00,Kolkata,Beverages,Milk,2,136,Cash,Delivered,33,Repeat,272
82,04/01/2023 09:00,Hyderabad,Beverages,Milk,4,326,UPI,Delivered,22,New,1304
83,04/01/2023 10:00,Chennai,Household,Chips,4,402,Cash,Returned,35,Repeat,1608
84,04/01/2023 11:00,Ahmedabad,Dairy & Bakery,Eggs,1,366,Wallet,Delivered,49,Repeat,366
85,04/01/2023 12:00,Kolkata,Beverages,Apple,1,101,Wallet,Delivered,35,Repeat,101
86,04/01/2023 13:00,Bangalore,Household,Milk,5,334,Cash,Delivered,54,New,1670
87,04/01/2023 14:00,Pune,Personal Care,Rice,2,339,UPI,Cancelled,39,New,678
88,04/01/2023 15:00,Delhi,Personal Care,Milk,4,380,Wallet,Delivered,73,New,1520
89,04/01/2023 16:00,Hyderabad,Dairy & Bakery,Banana,2,160,UPI,Delivered,82,Repeat,320
90,04/01/2023 17:00,Mumbai,Household,Chips,3,241,UPI,Delivered,47,New,723
91,04/01/2023 18:00,Ahmedabad,Personal Care,Bread,4,429,Wallet,Delivered,27,New,1716
92,04/01/2023 19:00,Hyderabad,Household,Juice,1,89,UPI,Delivered,18,Repeat,89
93,04/01/2023 20:00,Mumbai,Beverages,Juice,5,406,Card,Delivered,65,Repeat,2030
94,04/01/2023 21:00,Pune,Dairy & Bakery,Milk,2,490,Card,Delivered,47,New,980
95,04/01/2023 22:00,Pune,Personal Care,Apple,1,31,Card,Cancelled,30,Repeat,31
96,04/01/2023 23:00,Pune,Beverages,Flour,5,316,Cash,Returned,80,New,1580
97,05/01/2023 00:00,Mumbai,Fruits & Vegetables,Apple,1,124,Wallet,Delivered,21,New,124
98,05/01/2023 01:00,Hyderabad,Fruits & Vegetables,Banana,4,226,Card,Delivered,45,Repeat,904
99,05/01/2023 02:00,Pune,Dairy & Bakery,Milk,2,84,UPI,Returned,20,Repeat,168
100,05/01/2023 03:00,Chennai,Personal Care,Milk,3,82,Card,Delivered,76,Repeat,246
101,05/01/2023 04:00,Kolkata,Personal Care,Juice,1,197,UPI,Delivered,36,Repeat,197
102,05/01/2023 05:00,Mumbai,Personal Care,Soap,2,450,Wallet,Returned,72,Repeat,900
103,05/01/2023 06:00,Mumbai,Household,Milk,4,27,Card,Delivered,80,New,108
104,05/01/2023 07:00,Hyderabad,Beverages,Bread,1,178,Wallet,Delivered,75,Repeat,178
105,05/01/2023 08:00,Mumbai,Personal Care,Chips,4,30,Card,Delivered,83,Repeat,120
106,05/01/2023 09:00,Mumbai,Beverages,Chips,3,292,UPI,Delivered,76,New,876
107,05/01/2023 10:00,Pune,Dairy & Bakery,Bread,3,430,UPI,Delivered,74,New,1290
108,05/01/2023 11:00,Hyderabad,Personal Care,Soap,5,399,Cash,Delivered,43,New,1995
109,05/01/2023 12:00,Pune,Dairy & Bakery,Apple,5,114,Cash,Delivered,86,Repeat,570
110,05/01/2023 13:00,Kolkata,Personal Care,Juice,5,174,Cash,Delivered,87,Repeat,870
111,05/01/2023 14:00,Ahmedabad,Fruits & Vegetables,Chips,4,225,Card,Delivered,43,Repeat,900
112,05/01/2023 15:00,Kolkata,Snacks,Oil,5,134,Wallet,Delivered,73,Repeat,670
113,05/01/2023 16:00,Ahmedabad,Dairy & Bakery,Oil,2,398,Card,Delivered,26,Repeat,796
114,05/01/2023 17:00,Pune,Personal Care,Eggs,4,106,UPI,Cancelled,60,Repeat,424
115,05/01/2023 18:00,Kolkata,Snacks,Rice,4,331,Wallet,Delivered,65,Repeat,1324
116,05/01/2023 19:00,Hyderabad,Dairy & Bakery,Juice,5,216,UPI,Delivered,57,Repeat,1080
117,05/01/2023 20:00,Delhi,Household,Soap,5,369,Cash,Cancelled,71,Repeat,1845
118,05/01/2023 21:00,Pune,Personal Care,Eggs,4,117,UPI,Delivered,65,New,468
119,05/01/2023 22:00,Ahmedabad,Household,Milk,3,450,Card,Delivered,20,New,1350
120,05/01/2023 23:00,Chennai,Fruits & Vegetables,Bread,3,38,UPI,Cancelled,29,Repeat,114
121,06/01/2023 00:00,Ahmedabad,Personal Care,Flour,5,332,UPI,Delivered,77,New,1660
122,06/01/2023 01:00,Chennai,Fruits & Vegetables,Oil,3,434,UPI,Delivered,43,New,1302
123,06/01/2023 02:00,Mumbai,Snacks,Flour,2,35,Wallet,Cancelled,51,Repeat,70
124,06/01/2023 03:00,Kolkata,Dairy & Bakery,Milk,2,64,UPI,Returned,50,Repeat,128
125,06/01/2023 04:00,Chennai,Beverages,Oil,2,174,UPI,Delivered,71,New,348
126,06/01/2023 05:00,Ahmedabad,Fruits & Vegetables,Banana,4,464,Cash,Cancelled,26,Repeat,1856
127,06/01/2023 06:00,Mumbai,Beverages,Shampoo,4,429,Cash,Delivered,21,Repeat,1716
128,06/01/2023 07:00,Delhi,Beverages,Bread,4,250,Card,Delivered,77,Repeat,1000
129,06/01/2023 08:00,Hyderabad,Dairy & Bakery,Eggs,4,176,Cash,Cancelled,50,Repeat,704
130,06/01/2023 09:00,Hyderabad,Snacks,Rice,4,132,UPI,Delivered,23,Repeat,528
131,06/01/2023 10:00,Hyderabad,Dairy & Bakery,Shampoo,5,396,Cash,Delivered,13,New,1980
132,06/01/2023 11:00,Chennai,Personal Care,Banana,3,378,Wallet,Delivered,86,New,1134
133,06/01/2023 12:00,Delhi,Fruits & Vegetables,Apple,5,402,Card,Delivered,83,New,2010
134,06/01/2023 13:00,Chennai,Beverages,Banana,3,63,Cash,Delivered,23,New,189
135,06/01/2023 14:00,Kolkata,Dairy & Bakery,Shampoo,5,384,Card,Cancelled,18,Repeat,1920
136,06/01/2023 15:00,Chennai,Dairy & Bakery,Chips,2,432,Card,Delivered,52,Repeat,864
137,06/01/2023 16:00,Delhi,Dairy & Bakery,Flour,1,384,Card,Delivered,29,Repeat,384
138,06/01/2023 17:00,Delhi,Fruits & Vegetables,Juice,4,129,Wallet,Delivered,10,New,516
139,06/01/2023 18:00,Kolkata,Snacks,Soap,1,130,UPI,Delivered,81,New,130
140,06/01/2023 19:00,Delhi,Dairy & Bakery,Milk,1,242,Wallet,Delivered,26,New,242
141,06/01/2023 20:00,Ahmedabad,Fruits & Vegetables,Apple,2,405,Card,Delivered,29,Repeat,810
142,06/01/2023 21:00,Delhi,Beverages,Flour,1,409,Cash,Delivered,68,Repeat,409
143,06/01/2023 22:00,Hyderabad,Personal Care,Flour,1,284,Cash,Delivered,22,Repeat,284
144,06/01/2023 23:00,Ahmedabad,Household,Soap,2,290,Wallet,Delivered,86,Repeat,580
145,07/01/2023 00:00,Ahmedabad,Fruits & Vegetables,Banana,3,231,Cash,Delivered,56,Repeat,693
146,07/01/2023 01:00,Kolkata,Household,Rice,5,333,Card,Delivered,59,Repeat,1665
147,07/01/2023 02:00,Bangalore,Dairy & Bakery,Flour,1,277,Card,Delivered,86,New,277
148,07/01/2023 03:00,Bangalore,Dairy & Bakery,Milk,4,406,UPI,Delivered,49,Repeat,1624
149,07/01/2023 04:00,Delhi,Fruits & Vegetables,Apple,2,266,Card,Delivered,16,Repeat,532
